,tx_price,beds,baths,sqft,tx_age,year_built,lot_size,basement,restaurants,groceries,nightlife,cafes,shopping,arts_entertainment,beauty_spas,active_life,median_age,married,college_grad,ins*proptax,property_tax^2,property_var,property_tax,insurance^2,insurance_var,insurance,median_school,num_schools,tx_year,property_type_Apartment / Condo / Townhouse,property_type_Single-Family,exterior_walls_Asbestos shingle,exterior_walls_Block,exterior_walls_Brick,exterior_walls_Brick veneer,exterior_walls_Combination,exterior_walls_Concrete,exterior_walls_Concrete Block,exterior_walls_Masonry,exterior_walls_Metal,exterior_walls_Other,"exterior_walls_Rock, Stone",exterior_walls_Siding (Alum/Vinyl),exterior_walls_Stucco,exterior_walls_Wood,exterior_walls_Wood Shingle,exterior_walls_Wood Siding,roof_Asbestos,roof_asphalt,roof_Asphalt,"roof_asphalt,shake-shingle",roof_Built-up,roof_composition,roof_Composition,roof_Composition Shingle,roof_Gravel/Rock,roof_Metal,roof_Other,roof_Roll Composition,roof_Shake Shingle,roof_shake-shingle,roof_Slate,roof_Wood Shake/ Shingles
15,-1.458746211,2,2,-1.039473728,0.276550802,0.149631818,0,1,80,4,3,13,173,2,47,37,30,49,33,-2.630359837,-0.454980005,1.367807219,-1.367807219,-0.451737268,1.405205104,-1.405205104,6.5,2,1.710796952,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,-1.458435821,4,2,-0.964659088,0.938114528,-0.934616511,10001,1,26,10,1,2,24,0,10,7,30,89,13,-1.808163046,-0.42153676,1.143277449,-1.143277449,-0.417185955,1.14461127,-1.14461127,5,3,0.171008144,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,-1.454935677,4,2,-0.316016163,-1.0938312,0.741039998,3484,1,2,0,0,0,10,3,5,8,39,74,70,-0.252037153,-0.18745414,0.240840488,-0.240840488,-0.264298785,0.472553488,-0.472553488,9,3,-1.561254266,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,-1.451831777,3,2,-0.396067828,1.174387287,-1.772444766,6943,1,109,18,6,14,94,6,32,29,36,80,84,0.824608457,0.078937095,-0.406841541,0.406841541,0.248496305,-0.748122891,0.748122891,9,3,-2.138675069,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,-1.450147745,2,2,-0.827000151,-1.141085752,0.790324013,1192,1,15,2,0,1,49,0,5,15,37,61,56,-0.316880538,-0.248656522,0.426509337,-0.426509337,-0.239261047,0.390260699,-0.390260699,5,3,-1.561254266,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,-1.445227733,2,1,-0.961666503,1.410660046,-1.082468556,0,1,48,7,2,6,52,5,36,35,34,34,66,-1.590547977,-0.422273081,1.147595329,-1.147595329,-0.388243248,0.980025691,-0.980025691,9,3,1.518323351,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,-1.445227733,3,1,-0.918274012,-0.006976508,0.051063788,0,1,47,7,2,3,34,3,32,28,29,48,29,-1.455937302,-0.384620197,0.94897284,-0.94897284,-0.403403714,1.06231848,-1.06231848,3,3,0.171008144,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,-1.445227733,4,2,-0.425993683,0.512823562,-0.491060376,1742,1,8,1,1,0,13,1,11,7,34,82,35,-1.108138299,-0.345593333,0.776257632,-0.776257632,-0.377370591,0.925163831,-0.925163831,6,3,0.171008144,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,-1.438623689,2,1,-0.60105994,-0.763049338,1.036744088,2478,1,4,1,0,0,1,0,5,5,29,88,73,-1.390542117,-0.389087457,0.970562241,-0.970562241,-0.390865702,0.993741156,-0.993741156,8,1,0.940902548,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,-1.438623689,3,3,-0.770141025,-0.715794786,1.086028103,0,1,9,1,1,0,11,0,3,7,32,78,45,-1.4304412,-0.348723156,0.789211273,-0.789211273,-0.419349001,1.158326735,-1.158326735,3,3,1.32584975,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25,-1.438623689,4,2,0.171775286,-0.195994716,-0.146072272,10044,1,36,11,3,5,37,0,21,6,38,63,46,-0.137793939,-0.2081223,0.301290811,-0.301290811,-0.199120269,0.266821514,-0.266821514,6,3,-1.368780665,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,-1.438623689,4,3,-0.808296492,-0.05423106,-0.293924317,8894,1,135,12,7,12,79,9,84,39,37,69,48,-0.190957853,-0.219611107,0.335833852,-0.335833852,-0.212845084,0.307967909,-0.307967909,5,3,-1.368780665,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,-1.432019645,4,3,-0.722259656,-0.243249268,0.494619923,1760,1,46,7,7,3,49,11,28,16,28,75,28,-1.120426247,-0.340303877,0.754668231,-0.754668231,-0.382883487,0.952594761,-0.952594761,4,3,0.940902548,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,-1.432019645,4,3,0.702211081,-0.668540234,0.198915833,15681,1,21,3,2,3,26,0,18,7,34,76,56,-0.397203643,-0.245959722,0.417873576,-0.417873576,-0.272338426,0.499984418,-0.499984418,7,3,-1.946201468,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
